Participant ID,Moderator Initials,Device Type,Session Type,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Focus,Missed
1005,HP,AI Glasses & Neural Band,Setup & Device Management,misc,2025-11-03 11:10:18.744,1205,1200,5,0,"Glasses screen",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-11-03 11:10:31.238,1218,1200,18,1,"Glasses screen",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,misc,2025-11-03 11:19:57.129,1783,1800,-17,0,"Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,discomfort,2025-11-03 11:20:17.991,1804,1800,4,0,"Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-11-03 11:20:26.332,1813,1800,13,1,"Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,misc,2025-11-03 11:29:54.556,2381,2400,-19,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-11-03 11:30:05.553,2392,2400,-8,1,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,misc,2025-11-03 11:39:48.605,2975,3000,-25,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-11-03 11:39:57.914,2984,3000,-16,1,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,misc,2025-11-03 11:49:47.543,3574,3600,-26,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,discomfort,2025-11-03 11:49:58.393,3585,3600,-15,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-11-03 11:50:04.924,3591,3600,-9,1,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,misc,2025-11-03 11:59:55.423,4182,4200,-18,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-11-03 11:59:59.887,4186,4200,-14,1,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,misc,2025-11-03 12:09:42.920,4769,4800,-31,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-11-03 12:09:46.152,4772,4800,-28,1,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,misc,2025-11-03 12:19:34.134,5360,5400,-40,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,discomfort,2025-11-03 12:19:39.848,5366,5400,-34,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-11-03 12:19:46.592,5373,5400,-27,1,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,misc,2025-11-03 12:29:45.784,5972,6000,-28,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-11-03 12:29:47.866,5974,6000,-26,1,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,misc,2025-11-03 12:39:42.823,6569,6600,-31,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-11-03 12:39:45.037,6571,6600,-29,1,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,misc,2025-11-03 12:49:41.340,7168,7200,-32,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,discomfort,2025-11-03 12:49:42.925,7169,7200,-31,0,"Glasses screen, Real world, plain backdrop",false
1005,HP,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-11-03 12:49:45.675,7172,7200,-28,1,"Glasses screen, Real world, plain backdrop",false
