Participant ID,Moderator Initials,Device Type,Session Type,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Focus,Missed
1005,KAM,AI Glasses & Neural Band,Discover & Learn,misc,2025-11-05 15:52:24.457,562,600,-38,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,eyestrain,2025-11-05 15:52:26.221,564,600,-36,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,misc,2025-11-05 16:02:22.042,1160,1200,-40,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,eyestrain,2025-11-05 16:02:24.461,1162,1200,-38,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,misc,2025-11-05 16:12:23.591,1761,1800,-39,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,discomfort,2025-11-05 16:12:25.077,1763,1800,-37,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,eyestrain,2025-11-05 16:12:26.807,1765,1800,-35,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,misc,2025-11-05 16:22:23.558,2361,2400,-39,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,eyestrain,2025-11-05 16:22:27.726,2366,2400,-34,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,misc,2025-11-05 16:32:22.377,2960,3000,-40,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,eyestrain,2025-11-05 16:32:23.877,2962,3000,-38,1,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,misc,2025-11-05 16:42:23.080,3561,3600,-39,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,discomfort,2025-11-05 16:42:25.139,3563,3600,-37,0,"Real world, plain backdrop",false
1005,KAM,AI Glasses & Neural Band,Discover & Learn,eyestrain,2025-11-05 16:42:30.329,3568,3600,-32,1,"Real world, plain backdrop",false
