Participant ID,Moderator Initials,Device Type,Session Type,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Missed
3,AD,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T17:56:35.909Z,612,600,12,2,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T17:56:38.020Z,615,600,NA,NA,true
3,AD,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:06:24.483Z,1201,1200,1,0,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:06:37.991Z,1215,1200,NA,NA,true
3,AD,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:16:19.839Z,1796,1800,-4,0,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,discomfort,2025-10-29T18:16:27.970Z,1804,1800,4,0,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:16:35.916Z,1812,1800,12,1,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:26:23.030Z,2400,2400,0,0,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:26:30.137Z,2407,2400,7,2,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:36:29.748Z,3006,3000,6,0,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:36:34.358Z,3011,3000,11,1,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:46:18.875Z,3595,3600,-5,0,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,discomfort,2025-10-29T18:46:22.425Z,3599,3600,-1,0,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:46:29.576Z,3606,3600,6,1,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:56:17.285Z,4194,4200,-6,0,false
3,AD,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:56:24.449Z,4201,4200,1,1,false
