Participant ID,Moderator Initials,Device Type,Session Type,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Missed
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:08:03.503Z,607,600,7,0,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:08:11.446Z,615,600,NA,NA,true
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:17:43.662Z,1187,1200,-13,0,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:17:51.662Z,1195,1200,-5,1,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:27:44.866Z,1788,1800,-12,0,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,discomfort,2025-10-29T18:27:52.449Z,1796,1800,-4,0,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:28:03.765Z,1807,1800,7,1,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:37:50.828Z,2394,2400,-6,0,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:38:01.240Z,2404,2400,4,1,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:48:01.723Z,3005,3000,5,0,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:48:03.657Z,3007,3000,7,1,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:57:51.824Z,3595,3600,-5,0,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,discomfort,2025-10-29T18:57:58.209Z,3601,3600,1,0,false
4,Mfm,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:58:05.401Z,3609,3600,9,1,false
