Participant ID,Moderator Initials,Device Type,Session Type,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Missed
6,MNB,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:14:48.093Z,589,600,-11,0,false
6,MNB,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:14:51.892Z,592,600,-8,1,false
6,MNB,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:25:13.990Z,1215,1200,NA,NA,true
6,MNB,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:25:13.990Z,1215,1200,NA,NA,true
6,MNB,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:34:48.281Z,1789,1800,-11,0,false
6,MNB,AI Glasses & Neural Band,Setup & Device Management,discomfort,2025-10-29T18:34:50.584Z,1791,1800,-9,0,false
6,MNB,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:34:53.638Z,1794,1800,-6,1,false
6,MNB,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:44:48.274Z,2389,2400,-11,0,false
6,MNB,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:44:49.858Z,2390,2400,-10,1,false
6,MNB,AI Glasses & Neural Band,Setup & Device Management,misc,2025-10-29T18:54:49.997Z,2991,3000,-9,0,false
6,MNB,AI Glasses & Neural Band,Setup & Device Management,eyestrain,2025-10-29T18:54:52.896Z,2993,3000,-7,1,false
