Participant ID,Moderator Initials,Device Type,Session Type,Survey Type,Timestamp,Global Time (seconds),Target Time (seconds),Deviation (seconds),Response,Focus,Missed
10098,MNB,AI Glasses & Neural Band,Capture & Share,misc,2025-10-30 16:29:18.370,596,600,-4,0,"",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,eyestrain,2025-10-30 16:29:24.964,602,600,2,1,"",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,misc,2025-10-30 16:39:16.886,1194,1200,-6,0,"Glasses screen",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,eyestrain,2025-10-30 16:39:24.019,1201,1200,1,2,"Glasses screen",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,misc,2025-10-30 16:49:20.880,1798,1800,-2,0,"Glasses screen",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,discomfort,2025-10-30 16:49:26.093,1803,1800,3,1,"Glasses screen",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,eyestrain,2025-10-30 16:49:33.807,1811,1800,11,2,"Glasses screen",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,misc,2025-10-30 16:59:15.988,2393,2400,-7,0,"Real world, busy/mixed backdrop",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,eyestrain,2025-10-30 16:59:21.802,2399,2400,-1,1,"Real world, busy/mixed backdrop",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,misc,2025-10-30 17:09:16.463,2994,3000,-6,0,"Glasses screen, Real world, plain backdrop",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,eyestrain,2025-10-30 17:09:20.780,2998,3000,-2,2,"Glasses screen, Real world, plain backdrop",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,misc,2025-10-30 17:19:14.194,3591,3600,-9,0,"",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,discomfort,2025-10-30 17:19:20.642,3598,3600,-2,1,"",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,eyestrain,2025-10-30 17:19:27.689,3605,3600,5,1,"",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,misc,2025-10-30 17:29:13.703,4191,4200,-9,0,"Glasses screen",false
10098,MNB,AI Glasses & Neural Band,Capture & Share,eyestrain,2025-10-30 17:29:20.999,4198,4200,-2,1,"Glasses screen",false
