Participant ID,Moderator Initials,Device Type,Session Type,Study Day,Daily Session,VIMSSQ-Intake
1033,LAV,AI Glasses & Neural Band,Watching,2,2,8.0
1033,LAV,AI Glasses & Neural Band,Discover & Learn,2,1,8.0
1033,BDY,AI Glasses & Neural Band,Setup & Device Management,1,1,8.0
1033,BYD,AI Glasses & Neural Band,Capture & Share,1,2,8.0
1033,LAV,Gen 2 Glasses,Discover & Learn,4,2,8.0
1033,LAV,Gen 2 Glasses,Capture & Share,4,1,8.0
1033,LAV,AI Glasses & Neural Band,Discover & Learn,3,2,8.0
1033,LAV,AI Glasses & Neural Band,Watching,3,1,8.0
1061,JEV,AI Glasses & Neural Band,Capture & Share,1,2,7.0
1061,KAM,AI Glasses & Neural Band,Discover & Learn,2,1,7.0
1061,KAM,AI Glasses & Neural Band,Watching,2,2,7.0
1061,KAM,AI Glasses & Neural Band,Watching,4,1,7.0
1061,JEV,AI Glasses & Neural Band,Setup & Device Management,1,1,7.0
1061,KAM,Gen 2 Glasses,Capture & Share,3,1,7.0
1061,JEV,Gen 2 Glasses,Discover & Learn,3,2,7.0
1061,KAM,AI Glasses & Neural Band,Discover & Learn,4,2,7.0
1092,KAM,Gen 2 Glasses,Capture & Share,4,1,41.0
1092,KAM,AI Glasses & Neural Band,Capture & Share,1,2,41.0
1092,KAM,AI Glasses & Neural Band,Watching,3,2,41.0
1092,KAM,Gen 2 Glasses,Discover & Learn,4,2,41.0
1092,KAM,AI Glasses & Neural Band,Watching,2,2,41.0
1092,KAM,AI Glasses & Neural Band,Discover & Learn,3,1,41.0
1092,KAM,AI Glasses & Neural Band,Discover & Learn,2,1,41.0
1092,KAM,AI Glasses & Neural Band,Setup & Device Management,1,1,41.0
1050,ARO,AI Glasses & Neural Band,Discover & Learn,2,1,28.1
1050,LAV,AI Glasses & Neural Band,Discover & Learn,3,2,28.1
1050,UGP,Gen 2 Glasses,Discover & Learn,4,1,28.1
1050,ARO,AI Glasses & Neural Band,Watching,2,2,28.1
1050,JEV,AI Glasses & Neural Band,Capture & Share,1,2,28.1
1050,JEV,AI Glasses & Neural Band,Setup & Device Management,1,1,28.1
1050,LAV,AI Glasses & Neural Band,Watching,3,1,28.1
1050,UGP,Gen 2 Glasses,Capture & Share,4,2,28.1
1068,Jh,AI Glasses & Neural Band,Discover & Learn,2,1,0.0
1068,Jh,AI Glasses & Neural Band,Discover & Learn,3,2,0.0
1068,RO,Gen 2 Glasses,Capture & Share,4,2,0.0
1068,KAM,AI Glasses & Neural Band,Capture & Share,1,2,0.0
1068,Jh,AI Glasses & Neural Band,Watching,2,2,0.0
1068,KAM,AI Glasses & Neural Band,Setup & Device Management,1,1,0.0
1068,RO,Gen 2 Glasses,Discover & Learn,4,1,0.0
1068,Jh,AI Glasses & Neural Band,Watching,3,1,0.0
1032,LAV,AI Glasses & Neural Band,Watching,2,2,6.0
1032,RO,AI Glasses & Neural Band,Capture & Share,1,2,6.0
1032,RO,AI Glasses & Neural Band,Setup & Device Management,1,1,6.0
1032,LAV,AI Glasses & Neural Band,Discover & Learn,2,1,6.0
1032,LAV,AI Glasses & Neural Band,Watching,3,1,6.0
1032,WIL,Gen 2 Glasses,Discover & Learn,4,1,6.0
1032,LAV,AI Glasses & Neural Band,Discover & Learn,3,2,6.0
1032,WIL,Gen 2 Glasses,Capture & Share,4,2,6.0
3012,LAV,AI Glasses & Neural Band,Setup & Device Management,1,1,60.5
3012,LAV,Gen 2 Glasses,Capture & Share,4,2,60.5
3012,LAV,AI Glasses & Neural Band,Watching,2,2,60.5
3012,LAV,AI Glasses & Neural Band,Discover & Learn,3,2,60.5
3012,LAV,AI Glasses & Neural Band,Watching,3,1,60.5
3012,LAV,AI Glasses & Neural Band,Capture & Share,1,2,60.5
3012,LAV,AI Glasses & Neural Band,Discover & Learn,2,1,60.5
3012,LAV,Gen 2 Glasses,Discover & Learn,4,1,60.5
3013,JMH,Gen 2 Glasses,Capture & Share,4,2,28.0
3013,JMH,Gen 2 Glasses,Discover & Learn,4,1,28.0
3013,JMH,AI Glasses & Neural Band,Watching,2,1,28.0
3013,JMH,AI Glasses & Neural Band,Discover & Learn,3,2,28.0
3013,JMH,AI Glasses & Neural Band,Discover & Learn,2,2,28.0
3013,JMH,AI Glasses & Neural Band,Watching,3,1,28.0
3013,JMH,AI Glasses & Neural Band,Capture & Share,1,2,28.0
3013,JMH,AI Glasses & Neural Band,Setup & Device Management,1,1,28.0
3014,RSI,AI Glasses & Neural Band,Discover & Learn,2,1,48.7
3014,RSI,AI Glasses & Neural Band,Setup & Device Management,1,1,48.7
3014,RSI,AI Glasses & Neural Band,Watching,3,1,48.7
3014,RSI,Gen 2 Glasses,Discover & Learn,4,1,48.7
3014,RSI,AI Glasses & Neural Band,Watching,2,2,48.7
3014,RSI,Gen 2 Glasses,Capture & Share,4,2,48.7
3014,RSI,AI Glasses & Neural Band,Capture & Share,1,2,48.7
3014,RSI,AI Glasses & Neural Band,Discover & Learn,3,2,48.7
3007,JMH,AI Glasses & Neural Band,Capture & Share,1,2,31.6
3007,JMH,AI Glasses & Neural Band,Watching,2,1,31.6
3007,ARO,Gen 2 Glasses,Capture & Share,4,1,31.6
3007,ARO,AI Glasses & Neural Band,Watching,3,2,31.6
3007,ARO,Gen 2 Glasses,Discover & Learn,4,2,31.6
3007,JMH,AI Glasses & Neural Band,Setup & Device Management,1,1,31.6
3007,ARO,AI Glasses & Neural Band,Discover & Learn,3,1,31.6
3007,JMH,AI Glasses & Neural Band,Discover & Learn,2,2,31.6
3009,RAO,Gen 2 Glasses,Discover & Learn,4,2,41.6
3009,RAO,AI Glasses & Neural Band,Setup & Device Management,1,1,41.6
3009,RAO,AI Glasses & Neural Band,Watching,3,2,41.6
3009,RAO,AI Glasses & Neural Band,Capture & Share,1,2,41.6
3009,RAO,AI Glasses & Neural Band,Watching,2,2,41.6
3009,RAO,AI Glasses & Neural Band,Discover & Learn,3,1,41.6
3009,RAO,AI Glasses & Neural Band,Discover & Learn,2,1,41.6
3009,RAO,Gen 2 Glasses,Capture & Share,4,1,41.6
3008,WIL,AI Glasses & Neural Band,Discover & Learn,3,2,12.0
3008,WIL,AI Glasses & Neural Band,Discover & Learn,2,2,12.0
3008,WIL,AI Glasses & Neural Band,Setup & Device Management,1,1,12.0
3008,WIL,AI Glasses & Neural Band,Watching,2,1,12.0
3008,WIL,AI Glasses & Neural Band,Capture & Share,1,2,12.0
3008,WIL,Gen 2 Glasses,Capture & Share,4,1,12.0
3008,WIL,AI Glasses & Neural Band,Watching,3,1,12.0
3008,WIL,Gen 2 Glasses,Discover & Learn,4,2,12.0
3001,ARO,AI Glasses & Neural Band,Watching,2,1,2.2
3001,JMH,AI Glasses & Neural Band,Watching,3,1,2.2
3001,ARO,AI Glasses & Neural Band,Discover & Learn,2,2,2.2
3001,JMH,Gen 2 Glasses,Capture & Share,4,1,2.2
3001,JMH,Gen 2 Glasses,Discover & Learn,4,2,2.2
3001,ARO,AI Glasses & Neural Band,Capture & Share,1,2,2.2
3001,ARO,AI Glasses & Neural Band,Setup & Device Management,1,1,2.2
3001,JMH,AI Glasses & Neural Band,Discover & Learn,3,2,2.2
3006,LAV,AI Glasses & Neural Band,Discover & Learn,2,2,0.0
3006,LAV,AI Glasses & Neural Band,Watching,3,2,0.0
3006,LAV,AI Glasses & Neural Band,Discover & Learn,3,1,0.0
